2026-08-30 16:37:12,087 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:37:13,964 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:37:15,419 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:37:16,176 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:37:17,234 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:37:18,601 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:37:19,486 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:37:20,718 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:37:22,592 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:37:23,931 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:37:25,034 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:37:26,495 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:37:27,038 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:37:27,770 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:37:29,263 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:37:30,290 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:37:31,471 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:37:32,607 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:37:33,212 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:37:34,176 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:37:35,456 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:37:36,479 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:37:38,132 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:37:39,293 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:37:40,784 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:37:41,677 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:37:43,090 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:37:43,716 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
